field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
weight_vsorres,demographics,,text,Weight,,"Use pretreatment or day 1 weight",number,35,350,,"[weight_vsperf] != 'N'",y,,,,,
weight_vsorresu,demographics,,radio,"Weight unit","kg, kg|LB, LB",,,,,,"[weight_vsperf] != 'N'",y,,,,,
weight_vsperf,demographics,,radio,"Weight Recorded?","N, NO|Y, YES","Indicate if the vital signs were collected. If yes, include the appropriate details where indicated on the CRF.",,,,,"[weight_vsorres] = ''",y,,,,,
consent_suppie_consent,informed_consent,,radio,"Was IRB approved informed consent signed?","N, NO|Y, YES",,,,,,,y,,,,,
consent_dsterm,informed_consent,,descriptive,"INFORMED CONSENT OBTAINED",,,,,,,"0 = 1",,,,,,
consent_dsdecod,informed_consent,,descriptive,"INFORMED CONSENT OBTAINED",,,,,,,"0 = 1",,,,,,
consent_dscat,informed_consent,,descriptive,"PROTOCOL MILESTONE",,,,,,,"0 = 1",,,,,,
consent_dssstdtc,informed_consent,,text,"Date participant signed consent",,YYYY-MM-DD,date_ymd,,,,"[consent_suppie_consent] = 'Y'",y,,,,,
consent_suppie_confirm,informed_consent,,radio,"By selecting YES I confirm that I have reviewed Informed consent process documentation as well as the Informed Consent Form (ICF) and found them to be in compliance with ICH/ GCP guidelines and Study Protocol","N, NO|Y, YES",,,,,,"[consent_suppie_consent] = 'Y'",y,,,,,
ie_ietestcd,inclusion_exclusion,,dropdown,"Inclusion / Exclusion criterion failed","INCL01, Subject unable to provide Informed Consent|INCL02, Subject less than 18 years old|EXCL01, Subject is participating in another HCV treatment trial",,,,,,,y,,,,,
ie_iestresc,inclusion_exclusion,,radio,"Was subject enrolled in the study despite this I/E failure?","N, NO|Y, YES",,,,,,,y,,,,,
hiv_mhterm,key_medical_history,,descriptive,"HIV infection",,,,,,,"0 = 1",,,,,,
hiv_mhoccur,key_medical_history,,radio,"HIV Infection diagnosis on record? ","N, NO|Y, YES",,,,,,,y,,,,,
hbsag_mhterm,key_medical_history,,descriptive,"Hepatitis B",,,,,,,"0 = 1",,,,,,
hbsag_mhoccur,key_medical_history,,radio,"Hepatitis B diagnosis on record?","N, NO|Y, YES",,,,,,,y,,,,,
dcp_mhterm,key_medical_history,,descriptive,"Decompensated cirrhosis",,,,,,,"0 = 1",,,,,,
dcp_mhoccur,key_medical_history,,radio,"Indication of Hepatic Decompensation on record?","N, NO|Y, YES",,,,,,,y,,,,,
dbts_mhterm,key_medical_history,,descriptive,Diabetes,,,,,,,"0 = 1",,,,,,
dbts_mhoccur,key_medical_history,,radio,"Diabetes diagnosis on record? ","N, NO|Y, YES",,,,,,,y,,,,,
coag_mhterm,key_medical_history,,descriptive,"Coagulation disorder",,,,,,,"0 = 1",,,,,,
coag_mhoccur,key_medical_history,,radio,"Inherited coagulation disorder diagnosis on record? ","N, NO|Y, YES",,,,,,,y,,,,,
kdne_mhterm,key_medical_history,,descriptive,"Kidney Transplant",,,,,,,"0 = 1",,,,,,
kdne_mhoccur,key_medical_history,,radio,"Kidney transplant on record?","N, NO|Y, YES",,,,,,,y,,,,,
kdne_suppmh_mhstyr,key_medical_history,,text,"Year of kidney transplant",,YYYY,year_only,1970,,,"[kdne_mhoccur]= ""Y"" AND [kdne_suppmh_nomhstyr] != 'Y'",y,,,,,
kdne_suppmh_nomhstyr,key_medical_history,,radio,"Is year of kidney transplant unknown?","N, NO|Y, YES",,,,,,"[kdne_mhoccur] = 'Y' AND [kdne_suppmh_mhstyr] = ''",y,,,,,
livrlist_sctest,key_medical_history,,descriptive,"Listed for liver transplant at baseline?",,,,,,,"0 = 1",,,,,,
livrlist_sctestcd,key_medical_history,,descriptive,LIVXPLTLS,,,,,,,"0 = 1",,,,,,
livrlist_scorres,key_medical_history,,radio,"Listed for liver transplant at baseline?","N, NO|Y, YES",,,,,,,y,,,,,
livr_mhterm,key_medical_history,,descriptive,"Liver Transplant",,,,,,,"0 = 1",,,,,,
livr_mhoccur,key_medical_history,,radio,"Liver transplant on record?","N, NO|Y, YES",,,,,,,y,,,,,
livr_suppmh_mhstyr,key_medical_history,,text,"Year of liver transplant",,YYYY,year_only,1970,,,"[livr_mhoccur]= ""Y"" AND [livr_suppmh_nomhstyr] != 'Y'",y,,,,,
livr_suppmh_nomhstyr,key_medical_history,,radio,"Is year of liver transplant unknown?","N, NO|Y, YES",,,,,,"[livr_mhoccur] = 'Y' AND [livr_suppmh_mhstyr] = ''",y,,,,,
heart_mhterm,key_medical_history,,descriptive,"Heart Transplant",,,,,,,"0 = 1",,,,,,
heart_mhoccur,key_medical_history,,radio,"Heart transplant on record?","N, NO|Y, YES",,,,,,,y,,,,,
heart_suppmh_mhstyr,key_medical_history,,text,"Year of heart transplant",,YYYY,year_only,1970,,,"[heart_mhoccur]= ""Y"" AND [heart_suppmh_nomhstyr] != 'Y'",y,,,,,
heart_suppmh_nomhstyr,key_medical_history,,radio,"Is year of heart transplant unknown?","N, NO|Y, YES",,,,,,"[heart_mhoccur] = 'Y' AND [heart_suppmh_mhstyr] = ''",y,,,,,
lung_mhterm,key_medical_history,,descriptive,"Lung Transplant",,,,,,,"0 = 1",,,,,,
lung_mhoccur,key_medical_history,,radio,"Lung transplant on record?","N, NO|Y, YES",,,,,,,y,,,,,
lung_suppmh_mhstyr,key_medical_history,,text,"Year of lung transplant",,YYYY,year_only,1970,,,"[lung_mhoccur]= ""Y"" AND [lung_suppmh_nomhstyr] != 'Y'",y,,,,,
lung_suppmh_nomhstyr,key_medical_history,,radio,"Is year of lung transplant unknown?","N, NO|Y, YES",,,,,,"[lung_mhoccur] = 'Y' AND [lung_suppmh_mhstyr] = ''",y,,,,,
cry_mhterm,key_medical_history,,descriptive,Cryoglobulinemia,,,,,,,"0 = 1",,,,,,
cry_mhoccur,key_medical_history,,radio,"Cryoglobulinemia diagnosis on record?","N, NO|Y, YES",,,,,,,y,,,,,
cdep_mhterm,key_medical_history,,descriptive,Depression,,,,,,,"0 = 1",,,,,,
cdep_mhoccur,key_medical_history,,radio,"Depression diagnosis on record? ","N, NO|Y, YES",,,,,,,y,,,,,
cbpd_mhterm,key_medical_history,,descriptive,"Bipolar Disorder",,,,,,,"0 = 1",,,,,,
cbpd_mhoccur,key_medical_history,,radio,"Bipolar Disorder diagnosis on record? ","N, NO|Y, YES",,,,,,,y,,,,,
canx_mhterm,key_medical_history,,descriptive,"Anxiety Disorder",,,,,,,"0 = 1",,,,,,
canx_mhoccur,key_medical_history,,radio,"Anxiety Disorder diagnosis on record? ","N, NO|Y, YES",,,,,,,y,,,,,
othpsy_mhterm,key_medical_history,,descriptive,"Other psychiatric disorder",,,,,,,"0 = 1",,,,,,
othpsy_mhoccur,key_medical_history,,radio,"Other psychiatric disorder diagnosis on record? ","N, NO|Y, YES",,,,,,,y,,,,,
othpsy_oth_mhterm,key_medical_history,,text,"Other psychiatric disorder (specify)",,"@AUTOCOMPLETE=SELECT DISTINCT llt_name FROM _meddra_low_level_term",,,,,"[othpsy_mhoccur] = ""Y""",y,,,,,
auto_mhterm,key_medical_history,,descriptive,"Auto-immune disorder",,,,,,,"0 = 1",,,,,,
auto_mhoccur,key_medical_history,,radio,"Auto-immune disorder diagnosis on record?","N, NO|Y, YES",,,,,,,y,,,,,
eczema_mhterm,key_medical_history,,descriptive,Eczema,,,,,,,"0 = 1",,,,,,
eczema_mhoccur,key_medical_history,,radio,"Eczema diagnosis on record? ","N, NO|Y, YES",,,,,,,y,,,,,
psor_mhterm,key_medical_history,,descriptive,Psoriasis,,,,,,,"0 = 1",,,,,,
psor_mhoccur,key_medical_history,,radio,"Psoriasis diagnosis on record? ","N, NO|Y, YES",,,,,,,y,,,,,
porph_mhterm,key_medical_history,,descriptive,Porphyria,,,,,,,"0 = 1",,,,,,
porph_mhoccur,key_medical_history,,radio,"Porphyria diagnosis on record? ","N, NO|Y, YES",,,,,,,y,,,,,
skin_oth_mhterm,key_medical_history,,descriptive,"Other skin condition",,,,,,,"0 = 1",,,,,,
skin_oth_mhoccur,key_medical_history,,radio,"Other skin condition diagnosis on record? ","N, NO|Y, YES",,,,,,,y,,,,,
cpain_mhterm,key_medical_history,,descriptive,Pain,,,,,,,"0 = 1",,,,,,
cpain_mhoccur,key_medical_history,,radio,"Pain diagnosis on record?","N, NO|Y, YES",,,,,,,y,,,,,
dvt_mhterm,key_medical_history,,descriptive,DVT,,,,,,,"0 = 1",,,,,,
dvt_mhoccur,key_medical_history,,radio,"DVT / PE diagnosis on record? ","N, NO|Y, YES",,,,,,,y,,,,,
cva_mhterm,key_medical_history,,descriptive,Stroke,,,,,,,"0 = 1",,,,,,
cva_mhoccur,key_medical_history,,radio,"CVA / Stroke diagnosis on record? ","N, NO|Y, YES",,,,,,,y,,,,,
cadmi_mhterm,key_medical_history,,descriptive,"Coronary artery disease",,,,,,,"0 = 1",,,,,,
cadmi_mhoccur,key_medical_history,,radio,"CAD / MI diagnosis on record? ","N, NO|Y, YES",,,,,,,y,,,,,
hl_mhterm,key_medical_history,,descriptive,Hyperlipidemia,,,,,,,"0 = 1",,,,,,
hl_mhoccur,key_medical_history,,radio,"Hyperlipidemia diagnosis on record?","N, NO|Y, YES",,,,,,,y,,,,,
htn_mhterm,key_medical_history,,descriptive,Hypertension,,,,,,,"0 = 1",,,,,,
htn_mhoccur,key_medical_history,,radio,"Hypertension diagnosis on record?","N, NO|Y, YES",,,,,,,y,,,,,
caliver_mhterm,key_medical_history,,descriptive,"Hepatocellular carcinoma",,,,,,,"0 = 1",,,,,,
caliver_mhoccur,key_medical_history,,radio,"Liver Cancer diagnosis on record?","N, NO|Y, YES",,,,,,,y,,,,,
caskin_mhterm,key_medical_history,,descriptive,"Skin Cancer",,,,,,,"0 = 1",,,,,,
caskin_mhoccur,key_medical_history,,radio,"Skin Cancer diagnosis on record?","N, NO|Y, YES",,,,,,,y,,,,,
othca_mhterm,key_medical_history,,descriptive,"Other Cancer",,,,,,,"0 = 1",,,,,,
othca_mhoccur,key_medical_history,,radio,"Other Cancer diagnosis on record?","N, NO|Y, YES",,,,,,,y,,,,,
othca_oth_mhterm,key_medical_history,,text,"Other cancer (specify)",,"@AUTOCOMPLETE=SELECT ae_term FROM meddra_cancer_view",,,,,"[othca_mhoccur] = 'Y'",y,,,,,
dia_mhterm,key_medical_history,,descriptive,Dialysis,,,,,,,"0 = 1",,,,,,
dia_mhoccur,key_medical_history,,radio,"Currently receiving dialysis treatment?","N, NO|Y, YES",,,,,,,y,,,,,
dia_suppmh_mhfrq,key_medical_history,,radio,"Dialysis at least twice in the past week? ","N, NO|Y, YES",,,,,,"[dia_mhoccur] = 'Y'",,,,,,
othpsy_mhmodify,mh_coding,"Medical history",text,"Modified reported term for MH: [othpsy_oth_mhterm]",,"@AUTOCOMPLETE=SELECT DISTINCT llt_name FROM _meddra_low_level_term",,,,,,,,,,,
othpsy_mhdecod,mh_coding,,text,"Dictionary derived preferred term for MH:[othpsy_oth_mhterm]",,"@AUTOCOMPLETE=SELECT DISTINCT pt_name FROM `_meddra_pref_term`",,,,,,,,,,,
othpsy_mhbodsys,mh_coding,,text,"Body system or organ class for MH: [othpsy_oth_mhterm]",,"@AUTOCOMPLETE=SELECT DISTINCT soc_name FROM _meddra_soc_term",,,,,,,,,,,
othca_mhmodify,mh_coding,,text,"Modified reported term for MH: [othca_oth_mhterm]",,"@AUTOCOMPLETE=SELECT DISTINCT llt_name FROM _meddra_low_level_term",,,,,,,,,,,
othca_mhdecod,mh_coding,,text,"Dictionary derived preferred term for MH: [othca_oth_mhterm]",,"@AUTOCOMPLETE=SELECT DISTINCT pt_name FROM `_meddra_pref_term`",,,,,,,,,,,
othca_mhbodsys,mh_coding,,text,"Body system or organ class for H: [othca_oth_mhterm]",,"@AUTOCOMPLETE=SELECT DISTINCT soc_name FROM _meddra_soc_term",,,,,,,,,,,
alc_sutrt,substance_use,,descriptive,ALCOHOL,,,,,,,"0 = 1",,,,,,
alc_suppsu_suncf,substance_use,,radio,"Alcohol usage?","NEVER, Never|CURRENT, Current|FORMER, Former|UNKNOWN, Unkown","Substance Use Occurrence. {NCF}",,,,,,y,,,,,
alc_sudosfrq,substance_use,,radio,"Use frequency per interval","LESS_THAN_1_PER_DAY, < 1 / day|1_TO_2_PER_DAY, 1 - 2 / day|MORE_THAN_2_PER_DAY, > 2 / day|BINGE_DRINKING, Binge Drinking",,,,,,"[alc_suppsu_suncf] = 'CURRENT'",y,,,,,
tob_sutrt,substance_use,,descriptive,TOBACCO,,,,,,,"0 = 1",,,,,,
tob_suppsu_suncf,substance_use,,radio,"Tobacco usage?","NEVER, Never|CURRENT, Current|FORMER, Former|UNKNOWN, Unknown","Substance Use Occurrence. {NCF}",,,,,,y,,,,,
gen2_mhterm,prior_treatment_response,"Simeprevir- and/or Sofosbuvir-containing regimens",descriptive,"Prior treatment for HCV with Second-generation regimen",,,,,,,"0 = 1",,,,,,
gen2_mhoccur,prior_treatment_response,,radio,"Prior treatment for HCV with Second-generation regimen?","N, NO|Y, YES",,,,,,,y,,,,,
gen2_suppmh_mhextrt,prior_treatment_response,,checkbox,"Prior Second-generation treatment regimen","LDV, Ledipasvir|DCV, Daclatasvir|SMV, Simeprevir|SOF, Sofosbuvir|PEG, Peg Interferon|RBV, Ribavirin|OTHER, Other","Select all that apply",,,,,"[gen2_mhoccur] = 'Y'",,,,,,
gen2_oth_suppmh_mhextrt,prior_treatment_response,,text,"Prior Second-generation treatment regimen",,"@AUTOCOMPLETE=SELECT DISTINCT drug_name FROM _whodrug_mp_us",,,,,"[gen2_suppmh_mhextrt(OTHER)] = '1'",,,,,,
gen2_suppmh_response,prior_treatment_response,,radio,"Prior Second-generation treatment response","UNKNOWN, Unknown response|NULL_RESPONDER, Null responder|PARTIAL, Partial responder|RELAPSE, Relapser|VIROLOGICAL_BREAKTHROUGH, Virological Breakthrough|PRIOR_INTOLERANT, Prior intolerant",,,,,,"[gen2_mhoccur] = 'Y'",y,,,,,
pegifn_mhterm,prior_treatment_response,"PEG-IFN + Ribavirin",descriptive,"Prior treatment for HCV with PEG-IFN / Ribavirin in combination?",,,,,,,"0 = 1",,,,,,
pegifn_mhoccur,prior_treatment_response,,radio,"Prior treatment for HCV with PEG-IFN / Ribavirin in combination?","N, NO|Y, YES",,,,,,,y,,,,,
pegifn_suppmh_response,prior_treatment_response,,radio,"Previous PEG-IFN / Ribavirin treatment response","UNKNOWN, Unknown response|NULL_RESPONDER, Null responder|PARTIAL, Partial responder|RELAPSE, Relapser|VIROLOGICAL_BREAKTHROUGH, Virological Breakthrough|PRIOR_INTOLERANT, Prior intolerant",,,,,,"[pegifn_mhoccur] = 'Y'",y,,,,,
triple_mhterm,prior_treatment_response,"PEG-IFN/Ribavirin + BOC/TPV",descriptive,"Prior triple-therapy treatment (PEG-IFN/Ribavirin + BOC/TPV) in combination?",,,,,,,"0 = 1",,,,,,
triple_mhoccur,prior_treatment_response,,radio,"Prior triple-therapy treatment (PEG-IFN/Ribavirin + BOC/TPV) in combination?","N, NO|Y, YES",,,,,,,y,,,,,
triple_suppmh_cmdaa,prior_treatment_response,,radio,"Which Direct-acting antiviral (DAA) was used?","BOCEPREVIR, Boceprevir|TELAPREVIR, Telaprevir|UNKNOWN, Unknown",,,,,,"[triple_mhoccur] = 'Y'",y,,,,,
triple_suppmh_response,prior_treatment_response,,radio,"Prior triple-therapy treatment response","UNKNOWN, Unknown response|NULL_RESPONDER, Null responder|PARTIAL, Partial responder|RELAPSE, Relapser|VIROLOGICAL_BREAKTHROUGH, Virological Breakthrough|PRIOR_INTOLERANT, Prior intolerant",,,,,,"[triple_mhoccur] = 'Y'",y,,,,,
nopegifn_mhterm,prior_treatment_response,"Non PEG-IFN",descriptive,"Previous Non PEG-IFN / ribavirin based regimen?",,,,,,,"0 = 1",,,,,,
nopegifn_mhoccur,prior_treatment_response,,radio,"Previous Non PEG-IFN / ribavirin based regimen (i.e. Interferon-? alone, Rebetron, Infergen +/- Ribavirin)","N, NO|Y, YES",,,,,,,y,,,,,
daa_mhterm,prior_treatment_response,"Direct-acting Antivirals",descriptive,"DAA exposures",,,,,,,"0 = 1",,,,,,
daa_mhoccur,prior_treatment_response,,radio,"DAA exposures","N, NO|Y, YES",,,,,,,y,,,,,
daa_suppmh_failtype,prior_treatment_response,,checkbox,"What type of DAA was used? (Select all that apply)","ABT_072, ABT-072|ABT_267, ABT-267|ABT_333, ABT-333|ABT_450, ABT-450|ACH_1625, ACH-1625|ACH_2684, ACH-2684|ACH_2928, ACH-2928|ALISPORIVIR, Alisporivir|ALS_2158, ALS-2158|ALS_2200, ALS-2200|ANA_598, ANA-598|ASUNAPREVIR, Asunaprevir (ASV)|BI_201335, BI 201335|BI_207127, BI 207127|BI_1335, BI-1335|BI_7127, BI-7127|BMS_052, BMS-052|BMS_650032, BMS-650032|BMS_790052, BMS-790052|BMS_791325, BMS-791325|BMS_986094, BMS-986094|BOCEPREVIR, Boceprevir (BOC)|DACLATASVIR, Daclatasvir|DANOPREVIR, Danoprevir|DEB_025, DEB 025|DEBIO, Debio|FILIBUVIR, Filibuvir/ PF-00868554|GS_5885, GS-5885|GS_7977, GS-7977|GS_8516, GS-8516|GS_9190, GS-9190|GS_9256, GS-9256|GS_9541, GS-9541|GS_9669, GS-9669|GSK2336805, GSK2336805|IDX_184, IDX-184 (IDX184)|IDX_719, IDX719|INX_189, INX189|LEDIPASVIR, Ledipasvir|MERICITABINE, Mericitabine|MK_5172, MK-5172|MK_8742, MK-8742|OLYSIO, Olysio|PPI_461, PPI-461|PPI_668, PPI-668|PSI_7977, PSI-7977|PSI_938, PSI-938|RG_7218, RG7218|RG_7227, RG7227|RG_7790, RG7790|SETRIBYVUR, Setribyvur|SIMEPREVIR, Simeprevir (SMV)|SOFOSBUVIR, Sofosbuvir (SOF)|SOVALDI, Sovaldi|TEGOBUVIR, Tegobuvir|TELAPREVIR, Telaprevir (TVR)|TMC_435, TMC-435|VANIPREVIR, Vaniprevir|VCH_759, VCH-759|VX_135, VX-135|VX_222, VX-222|VX_950, VX-950|OTHER, Other",,,,,,"[daa_mhoccur] = 'Y'",y,,,,,
daa_oth_suppmh_failtype,prior_treatment_response,,text,"Other type of DAA used",,,,,,,"[daa_suppmh_failtype(OTHER)] = '1'",y,,,,,
ptx_nxmesg,prior_treatment_response,,descriptive,"<div class='yellow'>Treatment experienced (Definitions) <br /><br /><b><u>Unknown response (UR):</u></b> Patients who have previously completed a prescribed course of treatment, but treatment response based on HCV RNA determinations are not available.<br><br><b><u>Null responder (NR):</u></b> Patient received at least 12 weeks of treatment with HCV RNA decrease < 2 log10 at week 12 <br /><br /><b><u>Partial responder (PR):</u></b> Patient had HCV RNA decrease >2 log10 by week 12 of treatment, but remained detectable <br /><br /><b><u> Relapser (REL):</u></b> Patient previously completed a prescribed course of treatment, becoming HCV RNA undetectable during therapy, but relapsed with detectable HCV RNA once treatment was discontinued.<br /><br /><b><u> Prior intolerant (INTL):</u></b> These patients were treated, but discontinued due to adverse event or patient choice prior to completion of therapy.</div>",,,,,,,,,,,,,
il28bgt_lbtestcd,il28b_hcv_genotypes,,descriptive,IL28B,,,,,,,"0 = 1",,,,,,
il28bgt_lbtest,il28b_hcv_genotypes,,descriptive,"IL28B genotype",,,,,,,"0 = 1",,,,,,
il28bgt_lboccur,il28b_hcv_genotypes,,radio,"IL28B genotype available for this subject?","N, NO|Y, YES",,,,,,,y,,,,,
il28bgt_lborres,il28b_hcv_genotypes,,radio,"IL28B genotype","CC, CC|CT, CT|TT, TT",,,,,,"[il28bgt_lboccur] = 'Y'",y,,,,,
hcvgt_lbtest,il28b_hcv_genotypes,,descriptive,"HCV Genotype",,,,,,,"0 = 1",,,,,,
hcvgt_lbtestcd,il28b_hcv_genotypes,,descriptive,HCVGT,,,,,,,"0 = 1",,,,,,
hcvgt_lboccur,il28b_hcv_genotypes,,radio,"HCV genotype available for this subject?","N, NO|Y, YES",,,,,,,y,,,,,
hcvgt_lbdtc,il28b_hcv_genotypes,,text,"Year of HCV genotype",,YYYY,year_only,,,,"[hcvgt_lboccur]= 'Y' AND [hcvgt_supplb_nolbdtc] != 'Y'",y,,,,,
hcvgt_supplb_nolbdtc,il28b_hcv_genotypes,,radio,"Is year of HCV genotype unknown?","N, NO|Y, YES",,,,,,"[hcvgt_lboccur] = 'Y' AND [hcvgt_lbdtc] = ''",y,,,,,
hcvgt_lborres,il28b_hcv_genotypes,,dropdown,"HCV genotype ","1, 1|2, 2|3, 3|4, 4|5, 5|6, 6",,,,,,"[hcvgt_lboccur]= 'Y'",y,,,,,
hcvgt_s_lborres,il28b_hcv_genotypes,,dropdown,"HCV subtype","a, a|b, b|c, c|d, d|e, e|NOT_AVAILABLE, No subtype available",,,,,,"[hcvgt_lboccur]= 'Y'",y,,,,,
hcvgt2_lbtestcd,il28b_hcv_genotypes,,descriptive,HCVGT2,,,,,,,"0 = 1",,,,,,
hcvgt2_lbtest,il28b_hcv_genotypes,,descriptive,"HCV Secondary Genotype",,,,,,,"0 = 1",,,,,,
hcvgt2_lboccur,il28b_hcv_genotypes,,radio,"Does the subject have a mixed HCV genotype?","N, NO|Y, YES",,,,,,"[hcvgt_lboccur]= 'Y'",y,,,,,
hcvgt2_lborres,il28b_hcv_genotypes,,dropdown,"HCV secondary genotype","1, 1|2, 2|3, 3|4, 4|5, 5|6, 6",,,,,,"[hcvgt2_lboccur] = 'Y'",y,,,,,
hcvgt2_s_lborres,il28b_hcv_genotypes,,dropdown,"HCV secondary subtype","a, a|b, b|c, c|d, d|e, e|NOT_AVAILABLE, No subtype available",,,,,,"[hcvgt2_lboccur] = 'Y'",y,,,,,
q80k_lbtestcd,il28b_hcv_genotypes,,descriptive,Q80K,,,,,,,"0 = 1",,,,,,
q80k_lbtest,il28b_hcv_genotypes,,descriptive,"Q80K mutation present?",,,,,,,"0 = 1",,,,,,
q80k_lboccur,il28b_hcv_genotypes,,radio,"Q80K mutation available for this subject?","N, NO|Y, YES",,,,,,,y,,,,,
q80k_lborres,il28b_hcv_genotypes,,radio,"Q80K mutation present?","N, NO|Y, YES",,,,,,"[q80k_lboccur] = 'Y'",y,,,,,
ns5a_lbtestcd,il28b_hcv_genotypes,,descriptive,NS5ABLPM,,,,,,,"0 = 1",,,,,,
ns5a_lbtest,il28b_hcv_genotypes,,descriptive,"NS5A baseline polymorphism(s) present?",,,,,,,"0 = 1",,,,,,
ns5a_lboccur,il28b_hcv_genotypes,,radio,"NS5A baseline polymorphism(s) available for this subject?","N, NO|Y, YES",,,,,,"[hcvgt_lborres] = '1' AND ([hcvgt_s_lborres] = 'a' OR [hcvgt_s_lborres] = 'b')",y,,,,,
ns5a_lborres,il28b_hcv_genotypes,,radio,"NS5A baseline polymorphism(s) present?","N, NO|Y, YES|UNKNOWN, Unknown",,,,,,"[ns5a_lboccur] = 'Y'",y,,,,,
cir_nx_nxmesg,fibrosis_staging,,descriptive,"Subject cirrhotic? <strong>[cirr_suppfa_cirrstat]</strong>",,,,,,,"[cirr_suppfa_cirrstat] != ''",,,,,,
plat140_nx_nxmesg,fibrosis_staging,,descriptive,"Subject had Platelets < 140K in the last 6 months prior to beginning HCV treatment? <strong>[plt_suppfa_faorres]</strong>",,,,,,,"[plt_suppfa_faorres] != ''",,,,,,
livbp_mhterm,fibrosis_staging,,descriptive,"Liver Biopsy",,,,,,,"0 = 1",,,,,,
livbp_mhoccur,fibrosis_staging,,radio,"Liver biopsy recorded for this subject?","N, NO|Y, YES",,,,,,,y,,,,,
livbp_suppmh_mhstyr,fibrosis_staging,,text,"Year of most recent biopsy?",,YYYY,year_only,,,,"[livbp_mhoccur] = 'Y' AND [livbp_suppmh_nomhstyr] != 'Y'",y,,,,,
livbp_suppmh_nomhstyr,fibrosis_staging,,radio,"Is year of biopsy unknown?","N, NO|Y, YES",,,,,,"[livbp_mhoccur] = 'Y' AND [livbp_suppmh_mhstyr] = ''",y,,,,,
livbp_faobj,fibrosis_staging,,descriptive,"Liver Biopsy",,,,,,,"0 = 1",,,,,,
livbp_fatestcd,fibrosis_staging,,descriptive,FIBCAT,,,,,,,"0 = 1",,,,,,
livbp_fatest,fibrosis_staging,,descriptive,"Fibrosis stage",,,,,,,"0 = 1",,,,,,
livbp_facat,fibrosis_staging,,radio,"Which type of fibrosis staging scale was used?","METAVIR, Metavir|ISHAK, Ishak (modified Knodell)|BATTS_LUDWIG, Batts-Ludwig|SCHEUER, Scheuer|UNKNOWN, Unknown",,,,,,"[livbp_mhoccur] = 'Y'",y,,,,,
livbp_faorres,fibrosis_staging,,dropdown,"Please supply the fibrosis category ","0, 0|1, 1|2, 2|3, 3|4, 4|5, 5|6, 6","If pathologist specifies range (i.e. stage 3-4), select the highest value",,,,,"[livbp_mhoccur] = 'Y'",y,,,,,
